Word,L2.Val.Mean,L2.Val.SD,L2.Val.N,L2.Aro.Mean,L2.Aro.SD,L2.Aro.N,L1.Val.Mean,L1.Val.SD,L1.Val.N,L1.Val.Mean.Young,L1.Val.SD.Young,L1.Val.N.Young,L1.Aro.Mean,L1.Aro.SD,L1.Aro.N,L1.Aro.Mean.Young,L1.Aro.SD.Young,L1.Aro.N.Young,Freq
paycheck,7.47,2.36,15,6.47,2.12,17,7.48,1.89,21,6.44,2.24,9,6.77,2.41,22,6.8,2.77,5,218
payment,4.05,2.4,84,4.66,2.13,79,5.16,1.64,19,5.38,1.6,8,4.44,2.2,18,3.71,1.98,7,538
payoff,5.63,2.04,27,5,2.51,33,6.5,1.68,22,6.75,1.83,8,6.22,2.83,23,5.78,3.38,9,113
peach,6.78,1.37,27,4,1.97,33,6.83,2.01,18,6.38,2.83,8,4.7,2.49,23,5.2,2.78,10,324
peanut,6.29,0.91,14,NA,NA,NA,6.38,1.63,21,6.19,1.76,16,3.48,2.37,25,4,2.66,14,630
peanuts,5.44,1.65,27,3.97,1.78,33,5.63,2.06,19,5.71,0.76,7,3.86,2.03,22,4.6,2.01,10,385
peas,NA,NA,NA,4.59,2.45,17,6.1,1.68,20,7.33,2.08,3,2.95,1.88,21,3.3,2.21,10,237
peasant,NA,NA,NA,4.63,2.43,19,4.62,1.77,21,4.75,1.26,4,4,2.05,21,4.1,2.6,10,205
pee,4.29,2.13,14,NA,NA,NA,4.5,1.15,18,4.43,1.13,7,3.32,2.21,22,2.78,1.99,9,925
peek,5.57,1.22,14,NA,NA,NA,5.37,1.01,19,5.44,1.42,9,4.29,2.24,24,4.33,2.1,12,272
peel,4.89,1.36,57,4.7,1.69,56,4.68,0.95,19,4.33,1.32,9,3.71,2.31,24,3.58,2.02,12,273
peep,NA,NA,NA,5.62,1.71,16,4.42,2.14,19,4.33,2.6,9,4.3,2.47,20,5.29,2.75,7,226
penalty,3.3,1.56,27,4.22,1.75,32,2.8,1.6,40,2.71,1.71,21,3.89,2.45,44,3.79,2.08,14,464
penguin,7.14,1.17,14,NA,NA,NA,6.65,1.27,20,7.22,0.97,9,4,2.52,24,4.67,2.5,12,147
penis,4.87,2.2,141,5.17,2.39,132,5.3,1.42,20,5,1.53,7,5.9,2.97,20,5.71,3.4,7,684
penny,5.22,1.72,27,4.39,1.9,33,6.29,1.9,21,6.62,2.29,13,5.55,2.52,20,5.83,2.52,12,1239
pension,5.32,2.11,34,4.72,2.14,47,6.19,2.04,21,6.22,1.99,9,2.9,2.53,20,3.22,2.44,9,247
penthouse,6.24,1.79,25,5.37,2.27,27,6.42,2.23,101,6.32,2.32,59,5.74,2.47,101,5.5,2.65,44,231
pep,5.45,1.3,22,4.65,1.5,26,6.15,1.39,20,6.5,1.58,10,4.83,1.82,18,4.4,1.58,10,178
perception,5.03,1.69,58,4.67,1.98,57,6.05,1.53,21,5.75,0.96,4,3.57,1.54,21,3.7,1.77,10,180
perceptive,5.3,1.81,79,4.51,1.99,74,5.95,2.11,20,6.14,1.99,14,4.36,2.32,22,4.62,2.97,8,101
perfection,7.43,1.09,14,NA,NA,NA,6.59,1.88,41,6.74,1.79,19,5.55,2.21,38,5.71,2.4,14,275
performance,NA,NA,NA,6.57,1.89,21,6.2,1.94,20,6.36,1.78,14,5.61,2.17,23,5.56,2.4,9,1113
performer,5.86,2.03,37,5.42,2.01,48,5.75,1.37,20,5.71,1.33,14,4.45,2.15,22,4,2,12,123
period,3.92,1.71,37,4.63,1.81,49,3.33,2.08,21,3.25,2.18,12,4.2,2.35,20,3.89,2.32,9,1417
permission,4.81,2.04,16,4.73,1.99,26,5.14,1.88,22,4.92,2.39,12,4,1.86,20,4.11,1.69,9,1587
permit,5.47,1.98,59,5,1.99,56,5.26,1.37,19,5,0.94,10,3.76,2.39,21,3.29,1.98,7,617
person,6,1.59,16,4.78,2.15,27,6.1,1.62,41,5.36,1.53,22,3.71,2.08,38,4.43,2.03,14,10857
