Word,L2.Val.Mean,L2.Val.SD,L2.Val.N,L2.Aro.Mean,L2.Aro.SD,L2.Aro.N,L1.Val.Mean,L1.Val.SD,L1.Val.N,L1.Val.Mean.Young,L1.Val.SD.Young,L1.Val.N.Young,L1.Aro.Mean,L1.Aro.SD,L1.Aro.N,L1.Aro.Mean.Young,L1.Aro.SD.Young,L1.Aro.N.Young,Freq
corruption,1.93,1.58,15,6,1.46,17,3,2.12,21,3.09,2.21,11,4.86,2.55,22,2.8,2.49,5,218
cougar,5.48,1.9,31,5.05,2.01,40,5.67,2.37,21,4.78,2.86,9,5.7,2.89,20,6.22,2.44,9,102
cough,2.89,1.09,27,4.27,1.84,33,3.57,1.95,23,3.75,2.14,12,4.5,2.26,22,4,1.95,11,448
council,5,2.54,14,NA,NA,NA,5,1.65,20,5.33,2.12,9,3.86,1.68,21,4.15,1.21,13,863
countdown,6.18,1.99,85,6.54,2.17,79,5.64,1.65,22,5.5,1.62,12,6.47,1.74,19,6.4,1.78,10,180
countless,4.41,1.6,27,4.12,1.88,33,4.8,1.28,20,4.8,0.79,10,4.22,2.65,18,4.6,2.46,10,121
couple,6.24,2.23,82,5.58,2.52,74,7.11,1.49,19,7.78,1.2,9,4.95,2.4,22,5.89,2.76,9,11394
coupon,6.56,1.67,27,4.85,2.51,33,6.3,1.17,20,6.33,1.22,9,4.22,2.65,23,4,3.07,11,111
courage,7.08,1.86,37,5.47,2.05,47,7.67,1.32,21,8.38,0.74,8,5,2.5,24,5.21,2.12,14,1207
covenant,4.74,1.37,19,4.62,1.75,26,5.21,1.65,19,6,1.5,9,4,1.95,21,4.56,1.51,9,341
coward,NA,NA,NA,4.8,2.17,20,2.42,1.64,19,3,1.89,10,4.09,2.73,44,3.7,2.43,20,734
cowboy,5.69,1.84,59,5.69,2.08,58,5.43,1.8,21,6,2,4,4.43,2.54,21,5.7,2.79,10,968
coyote,5,1.96,14,4.88,1.85,24,4.05,1.86,21,4.22,1.72,9,5.55,2.09,22,5.8,2.77,5,185
cracker,4.73,2.09,15,4.41,2.12,17,5.11,1.45,19,4.6,1.43,10,3.64,2.46,22,5.11,2.37,9,294
crash,3.11,2.09,37,5.69,1.79,48,2.9,2.03,42,3.5,2.19,20,4.55,2.94,22,5.09,2.88,11,1461
crate,4.82,1.47,51,4.69,1.5,49,4.8,1.36,20,5,1.25,10,2.72,2.08,18,2.8,2.44,10,209
crave,5.3,1.66,27,5.27,2.05,30,5.41,1.59,22,5.25,1.98,8,5.04,2.95,26,5.38,2.72,13,106
crawl,4.3,1.27,27,4.33,1.42,30,3.95,1.54,19,4.6,0.84,10,3.62,1.83,21,3.29,1.25,7,614
crazed,NA,NA,NA,5.65,2.39,20,3.5,1.57,22,3.2,1.48,10,6.25,2.1,20,6.69,1.97,13,107
crazy,5.27,2.58,15,6.88,1.87,17,5.14,1.93,22,5.29,2.13,14,5.9,2.26,21,5.78,2.33,9,13886
credibility,5.84,1.92,83,4.93,2.04,76,7,1.45,19,6.71,1.6,7,4.05,2.38,21,4.71,2.69,7,163
credit,4.57,2.14,14,NA,NA,NA,5,2.47,18,4.64,2.11,11,4.38,3.02,21,4.33,3,9,2337
creek,4.96,1.37,27,4.13,1.74,30,6.32,1.6,19,6.5,1.69,8,2.67,1.57,18,3.14,1.68,7,454
crest,4.93,1.81,72,4.58,1.83,66,4.9,1.58,21,4.29,2.06,7,3.39,2.39,23,3.45,2.38,11,107
crib,NA,NA,NA,4.2,2.43,15,6.43,2.34,21,6.08,2.75,13,4.26,2.73,19,4.36,2.91,11,316
cricket,4.48,2.2,52,4.42,2.12,50,5.71,1.76,21,5.92,1.93,12,3.22,2.78,23,4.5,3.27,10,144
criminal,2.52,1.86,85,4.32,1.9,78,2.11,0.81,19,2,0.63,6,4.49,2.62,45,4.31,2.57,26,1758
cripple,2.77,1.42,13,4.82,2.35,17,2.47,1.61,19,3.09,1.76,11,4.05,2.79,22,3.18,2.14,11,194
crisis,4,1.84,14,NA,NA,NA,2.05,1.08,19,2.71,1.25,7,6.29,2.37,21,6.44,1.33,9,849
crisp,6.59,1.82,37,5.02,2.23,45,5.23,2.25,22,4.9,2.81,10,3.95,2.71,21,2.91,2.51,11,161
critical,4.12,2.31,16,6.08,2.08,25,3.95,2.17,19,5.44,2.07,9,4.95,2.24,20,5.86,2.34,7,625
crook,2.64,1.39,14,4.55,2.4,22,2.86,1.46,22,2.75,1.83,8,4.62,2.9,26,5.23,2.92,13,289
crop,NA,NA,NA,4.27,2.39,22,5.88,2.06,17,5.83,1.33,6,3.19,1.81,21,3.44,2.19,9,248
crotch,4.08,2.02,13,4.22,1.91,23,4.62,1.66,21,4.6,1.9,10,4.96,2.74,23,4.91,2.98,11,140
crown,6.27,2.02,37,4.98,2.11,48,6,2.11,19,5.86,1.68,7,4.52,2.09,21,5.5,2.37,10,698
cruise,7.03,1.95,34,5.35,2.36,46,6.47,2.2,19,5.86,1.95,7,4.32,2.8,22,5,2.49,10,626
cruiser,5.47,1.41,15,4.91,2.13,23,5.32,1.73,19,4.83,2.23,6,2.9,2.25,20,1.57,0.79,7,162
crummy,3.97,1.82,29,4.53,1.82,43,3.9,1.97,20,3.79,1.85,14,4.26,1.86,23,3.22,1.86,9,171
crunch,4.62,1.54,16,4.65,2.24,26,4.79,1.18,19,4.88,1.25,8,4.17,2.2,18,4,2.08,7,179
crusade,4.34,1.61,29,5.23,1.86,39,4.24,1.67,21,3.83,1.47,6,6.2,1.85,20,6.5,2.22,10,194
cub,5.85,1.78,26,4.58,1.46,33,6.71,1.52,21,6.44,1.51,9,3.95,2.61,22,4.4,2.97,5,107
cubicle,3.72,1.91,47,3.8,1.93,46,3.8,1.54,20,3.5,1.58,10,3.05,2.11,20,2.88,2.17,8,131
cuddle,7.78,1.51,54,6.5,2.75,52,7.6,0.99,20,7.29,1.11,7,3.83,2.96,23,3.91,3.3,11,110
cue,5.93,1.75,15,5.12,2,17,5.84,2.01,19,5.78,2.54,9,4.35,2.39,20,5.71,2.63,7,397
cuff,3.88,1.64,49,4.34,1.97,47,4.81,1.94,21,4.69,1.89,16,3.56,2.29,25,2.71,2.16,14,291
cupboard,5.02,1.27,57,4.49,1.78,55,4.81,1.33,21,4.8,1.48,10,3.52,2.25,23,3.64,2.5,11,127
cupcake,6.98,2.01,86,6.53,2.17,79,6.9,1.58,21,6.8,1.69,10,4.22,2.54,23,5.18,2.48,11,167
curb,NA,NA,NA,3.95,2.28,20,4.65,1.35,20,4.93,1.14,14,3.59,2.15,22,3.83,2.37,12,209
curiosity,6.8,1.61,15,7.24,1.68,17,6.37,1.42,19,6,1.5,9,5.9,2.14,21,6.62,1.39,13,435
curious,6,1.74,173,6.07,2.04,202,6.58,1.2,40,6.11,1.24,19,5.74,2.12,915,5.85,2.11,416,1337
currency,5.46,2.03,85,4.85,2.22,78,5.9,1.87,21,6.09,1.58,11,4.05,2.62,21,4.2,2.86,5,186
cushion,6.33,1.82,55,4.51,2.45,53,5.9,1.61,21,7.5,1.73,4,2.76,1.55,21,2.9,1.52,10,110
custody,3.62,1.86,16,4.54,1.63,26,4.74,1.79,19,5.27,1.79,11,4.14,2.8,22,2.91,2.17,11,982
customary,5,1.11,14,4.53,1.81,17,5,1.11,19,5,1.07,8,3.44,1.69,18,4.14,1.21,7,111
dad,7.93,1.75,15,5.35,2.55,17,7.14,2.17,22,6.64,2.53,14,4.05,2.52,21,3.22,1.99,9,25870
daily,5.54,1.88,57,4.8,2.41,56,5.74,1.88,19,5.8,1.55,10,4.2,2.48,20,4.12,2.9,8,797
dairy,5.93,2.12,15,3.88,2.03,17,6.09,1.66,22,5.62,1.77,8,3.9,2.34,21,5.14,2.85,7,142
damn,4.18,2.12,101,4.91,2.08,90,4.32,1.78,22,4.71,1.82,14,5.1,2.47,21,4.44,2.51,9,14460
dancer,7,1.66,14,NA,NA,NA,6.64,1.71,39,7,1.15,19,4.52,2.44,42,4.56,2.75,18,831
danger,2.73,2.03,85,5.61,2.36,79,2.66,1.7,41,2.1,1.58,21,5.84,2.74,44,5.67,2.73,21,2227
dare,5.07,1.87,15,4.59,2.31,27,4.67,1.85,18,4.55,1.75,11,5.6,2.64,20,5.11,3.14,9,2826
daring,5.72,1.88,82,6.28,1.98,76,6,1.53,19,5.14,1.46,7,6.14,1.9,21,5.71,2.29,7,214
darkness,3.15,2.08,86,3.81,2.2,79,4.71,1.93,21,5,1.69,8,4.08,2.04,25,4.86,1.7,14,892
dashing,5.54,1.98,26,4.88,1.96,32,6.62,1.77,21,6.25,1.81,16,4.28,2.56,25,3.86,2.88,14,115
daughter,6.86,1.83,37,4.68,2.43,47,6.73,2.33,22,6.07,2.5,14,5,2.63,21,3.78,2.05,9,8739
day,6.38,1.78,16,4.44,2.15,27,6.36,1.4,22,6.07,1.33,14,3.62,2.31,21,3.56,2.13,9,40893
daylight,6.04,2.12,27,4.3,2.21,33,6.95,1.48,41,6.45,1.61,20,4.05,2.84,20,6.33,2.8,6,488
deacon,3.9,1.48,20,4.14,1.54,35,5.09,1.6,22,5.5,1.31,8,3.87,2.32,23,4,3.2,9,146
dead,1.9,1.74,59,3.46,2.32,57,2.02,1.39,42,1.87,1.36,23,3.91,2.15,23,4.8,2.35,10,22898
deaf,2.67,1.68,15,3.41,2.29,17,3.19,2.18,21,2.67,2.27,12,4.27,2.41,22,4.47,2.61,15,741
debate,4.54,1.79,37,5.44,1.95,48,4.95,1.39,20,4.57,1.27,7,4.86,2.41,21,4.71,2.56,7,474
deceased,NA,NA,NA,4.42,2.32,19,2.73,2.07,22,2.6,2.12,10,4.86,2.94,21,4.64,3.23,11,321
decent,NA,NA,NA,4.6,1.98,20,6.27,1.8,22,6.25,2.14,12,4.15,2.62,20,4,2.4,9,1433
deception,3.23,1.88,13,5.35,1.9,17,2.36,1.14,22,2.42,1,12,5.79,2.37,19,6.1,1.66,10,160
decide,4.75,2.05,36,4.91,1.87,46,6.28,1.87,18,5.73,1.74,11,3.1,2.47,20,1.78,1.39,9,2571
deck,5.06,1.65,16,4.48,1.19,25,5.68,1.67,22,5.7,2.11,10,3.25,2.31,20,2.27,1.74,11,1212
decline,2.84,1.66,37,4.63,1.72,49,3.19,1.4,21,3.67,1.32,9,3.6,2.5,20,4.56,2.92,9,152
dedicate,5.94,2.07,36,4.73,2.22,49,6.48,1.5,21,6.78,1.39,9,3.35,2.18,20,2.78,1.39,9,124
dedication,6.15,1.95,81,5.47,2.18,72,7.38,1.02,21,7.88,0.64,8,4.36,2.18,25,4.57,1.95,14,173
deep,5.28,1.93,85,4.67,2.11,78,5.44,1.79,18,4.82,1.72,11,3.9,2.76,21,3.44,3.71,9,3896
deer,6.11,1.28,27,4.27,1.91,33,6.89,1.49,19,7.78,1.3,9,3.95,2.42,22,4.56,2.55,9,444
defect,2.67,1.76,15,4.88,2.22,16,2.89,1.56,19,2.64,1.5,11,4.14,2.8,22,3.91,2.59,11,126
defective,3.89,1.63,27,4.44,1.79,32,3.52,1.83,21,3.17,2.25,12,4.17,2.39,23,4.31,2.52,16,110
defend,5.62,2.09,16,5,2.45,26,6.3,1.84,20,6.1,1.66,10,4.55,2.26,20,4.25,2.49,8,959
defender,5.33,1.24,27,5.06,1.92,32,5.05,2.25,19,4.7,1.89,10,3.76,1.97,21,4.29,1.8,7,152
defense,4.7,2.11,60,5.24,2.06,58,5.36,1.84,22,5.5,2.02,12,5.11,2.62,19,5.22,2.44,9,1665
defensive,NA,NA,NA,4.86,2.33,21,4.65,1.81,20,5.4,2.01,10,4.28,2.95,18,5.86,2.79,7,278
definite,5.65,1.92,37,4.78,1.97,49,5.79,1.18,19,5.57,0.79,7,4.19,1.94,21,4.71,2.21,7,314
degree,6,1.73,27,5,1.97,33,5.63,1.12,19,5.22,0.97,9,4.1,1.92,21,4.67,2.06,9,759
delay,3.25,1.97,60,4.31,2.05,58,3.45,1.76,20,2.88,1.25,8,3,2.29,20,3.44,2.46,9,562
delayed,2.8,1.62,86,4.3,1.73,79,3.05,1.39,19,3.17,1.47,6,4.05,2.25,43,4.09,2.41,23,274
deliberate,NA,NA,NA,4.22,2.07,18,4.8,1.06,20,4.86,0.38,7,3.48,2.18,21,4.57,2.37,7,145
delicate,5.88,1.71,82,4.44,2.14,75,6.38,1.69,21,6.7,1.95,10,3.09,2.21,23,3.55,2.34,11,485
delicious,NA,NA,NA,6.95,2.06,22,7.38,1.83,21,7.33,2.1,12,4.92,2.92,24,5.1,2.69,10,1098
delight,6.43,1.74,14,NA,NA,NA,8.21,0.92,19,8.22,1.09,9,5.02,2.69,43,5.17,2.41,12,288
delighted,6.8,1.89,87,6.43,2,79,7.74,1.05,19,8.22,0.83,9,5,2.28,21,5.78,1.39,9,660
delightful,7.45,1.69,60,6.35,2.45,57,7.38,1.83,21,6.73,2.28,11,6.16,2.75,19,5.6,2.67,10,469
deliver,5.75,1.69,83,5.22,2.12,77,6,2,22,6.42,2.07,12,4.75,2.31,20,4.33,2.29,9,1446
delivery,NA,NA,NA,5.81,2.16,21,6,1.14,18,6.38,0.92,8,4.04,2.27,24,4.42,2.43,12,1017
demo,NA,NA,NA,5.56,1.76,18,5.65,1.63,20,5.64,1.34,14,3.91,2.02,22,3.5,2,8,168
democratic,5.1,2.18,81,4.67,2.12,72,5.7,1.63,20,5.5,2.52,4,4.33,2.35,21,4.9,2.23,10,181
demonic,3.5,2.01,36,5.11,1.93,46,3.05,2.33,20,3.25,3.3,4,6.24,2.07,21,5.8,2.2,10,154
demonstration,NA,NA,NA,5.71,2.05,21,5.5,1.29,18,5.86,1.21,7,3.53,1.9,19,3.25,1.75,8,366
denial,3.01,1.6,83,4.07,1.77,75,3.57,1.78,21,3.33,1.86,6,4.85,2.46,20,5.1,2.6,10,268
dent,2.93,1.58,15,4.94,1.68,17,3.52,1.21,21,3.75,1.22,12,3.46,2.75,24,4.2,2.78,10,180
dentist,3.81,1.72,16,4.48,2.17,27,3.84,1.81,38,3.94,2.25,17,4.37,2.58,38,5.07,2.3,14,571
department,5.4,1.18,15,4.65,2.03,17,5.33,1.46,18,4.82,1.25,11,2.5,1.82,20,2.11,1.54,9,3256
dependent,4.07,1.47,27,4.3,1.7,33,4.5,1.73,20,4.18,1.6,11,3.73,2.27,22,3.67,1.73,9,114
depressed,2.06,1.35,36,4.12,2.08,49,2.27,1.48,40,2.6,1.85,20,4.25,3.24,20,5.18,3.52,11,830
depressing,2.33,1.85,60,3.48,2.15,58,2.48,1.69,21,2.55,1.51,11,3,2.11,19,3.9,2.08,10,324
describe,4.92,1.45,83,4.33,1.76,76,5.9,1.12,20,6,1.25,10,2.95,1.85,20,2.75,1.91,8,866
designated,5.4,1.9,35,4.42,1.82,48,5.1,1.26,21,5,0.89,6,3.85,1.93,20,4.3,1.95,10,132
desk,5.2,1.52,15,4,2.56,16,5.56,1.72,18,4.91,1.38,11,2.45,1.67,20,2.22,1.56,9,2239
desperate,2.81,1.56,59,4.72,2.39,57,3.19,1.47,21,2.67,0.89,12,5,2.52,23,5.44,2.34,16,1310
desperation,3.19,1.92,26,4.45,2.05,33,2.55,1.39,20,2.27,1.19,11,6.3,2.43,20,6.27,2.45,11,154
destroy,NA,NA,NA,5.33,2.2,21,2.67,2.3,18,3.11,3.14,9,5.16,2.85,45,5.48,2.6,21,2406
destructive,3.03,1.72,36,5.21,1.78,43,3.11,1.66,19,3.56,1.88,9,6.38,1.56,21,6.46,1.51,13,122
detail,NA,NA,NA,4.86,2.08,21,5.67,1.79,40,5.5,1.51,14,3.81,2.09,21,4.14,2.04,7,989
detect,4.94,1.43,83,4.67,1.77,75,5.09,1.19,22,4.62,1.69,8,4.57,2.56,23,4.22,2.82,9,261
determination,NA,NA,NA,5.52,2.29,21,7.58,1.35,19,8.22,0.97,9,5.52,2.23,23,4.9,2.77,10,142
determine,5.73,2.09,15,4.37,1.64,27,6,1.86,19,6.14,1.95,7,4.68,2.51,22,5,2.05,10,428
detour,4.35,1.34,23,4.23,2.14,30,3.86,1.93,22,3.92,1.88,12,4.58,2.29,19,4.5,2.12,10,107
development,6.38,1.78,16,4.07,2.23,27,5.25,1.45,20,5.07,1.54,14,4.23,2.16,22,3.25,1.76,12,625
device,5.76,1.61,37,4.23,2.17,47,5.79,1.65,19,6.17,1.83,6,3.42,2.34,19,4.14,3.13,7,926
devotion,6.67,1.76,15,4.36,2.02,25,6,1.83,22,5.82,2.04,11,4.73,2.49,22,5.36,2.62,11,211
dew,5.71,2.04,31,4.26,1.7,42,4.79,1.75,19,4.69,1.65,13,3.04,1.8,23,3,1.73,9,109
diabetic,2.76,1.6,34,5.04,2.03,45,3,1.72,24,3.4,1.96,10,3.86,2.25,22,4,2.45,5,113
diary,5.33,1.84,15,4.07,1.92,27,6,1.2,19,6,1.41,7,3.73,2.19,22,4.5,1.78,10,458
dickhead,2.91,2.22,81,4.22,2.16,73,2.6,1.96,20,2.7,1.42,10,5.26,2.08,19,4.38,2.2,8,161
dictator,3.09,1.95,54,4.54,2.28,52,2.77,2.18,22,3.75,2.12,8,5.5,2.44,22,4.8,2.35,10,108
dictionary,NA,NA,NA,4.24,2.14,21,6.05,2.04,20,5.71,2.36,7,2.91,1.95,23,3.27,2.41,11,190
diesel,4.57,1.99,14,NA,NA,NA,4.32,1.53,19,4,1.6,8,3.78,1.96,18,4.57,1.27,7,135
diet,4.87,2.56,15,5.24,1.95,17,4.42,1.3,19,4.62,1.41,8,3.83,2.09,18,3.57,2.3,7,784
difficult,2.57,1.71,60,4.53,2.09,58,3.78,1.7,18,3.36,1.03,11,4.45,2.35,20,4,2.74,9,3068
difficulty,2.92,1.69,59,4.74,2.01,58,2.57,1.6,21,3.22,1.86,9,4.21,2.62,19,4.44,2.35,9,285
digest,5.29,1.38,14,3.59,1.91,17,4.74,1.76,23,5,1.58,9,2.9,1.7,21,3.8,1.55,10,168
digital,NA,NA,NA,4.59,2.34,22,6,2.1,21,7.25,1.67,8,4.36,2.22,25,5.21,1.89,14,275
dildo,4.16,2.27,68,4.87,1.94,63,4.57,2.86,21,5.27,2.8,11,5.09,2.65,22,3,2.35,5,68
dilemma,3.25,1.98,16,4.92,2.46,26,4.24,2.32,21,5.1,2.02,10,5.19,2.56,21,5.89,2.15,9,133
dim,4.73,1.91,15,4.06,2.56,17,3.37,1.38,19,2.67,1.58,9,3.55,2.31,20,3.62,2.39,8,243
dime,5.38,1.54,16,5.08,1.5,24,5.58,1.89,19,5.1,1.45,10,3.52,2.34,21,3.43,2.64,7,615
diner,NA,NA,NA,5.71,2.17,21,6.75,1.52,20,6.71,1.54,14,4.04,2.33,23,4.78,2.68,9,632
dinner,NA,NA,NA,6.81,1.94,21,6.4,2.02,42,6.3,2.03,23,3.85,2.34,47,3.88,2.44,26,10336
dinosaur,5.81,1.76,16,5.41,2.37,27,6.11,0.96,18,6.25,0.71,8,5.33,2.03,18,5.43,2.3,7,203
diplomat,4.97,1.45,34,4.51,1.94,43,4.65,1.76,20,4.75,2.01,12,3.65,2.01,23,4.06,2.08,16,109
diplomatic,6.29,1.2,14,NA,NA,NA,5.9,1.87,21,5.17,1.17,6,4.45,2.04,20,5.2,1.81,10,256
direction,5.15,0.99,27,4.61,1.94,33,5.45,1.36,20,5.6,0.7,10,3.33,2.22,18,3.8,2.44,10,1228
dirt,3.81,1.96,26,4.03,2.35,32,4.5,1.79,20,4.9,1.29,10,3.44,2.13,41,3.1,2.28,21,1310
dirty,3.27,1.91,15,5.59,1.77,17,3.17,1.89,42,3.38,1.86,16,5.05,2.18,21,5.44,1.81,9,3389
disability,2.89,1.95,27,4.67,2.33,33,2.95,1.22,19,2.78,1.2,9,3.9,1.62,20,4.25,0.71,8,101
disabled,2.57,1.46,37,4.65,2.11,49,2.7,1.15,23,2.38,0.92,8,3.71,2.05,21,3.57,1.9,7,177
disagree,NA,NA,NA,4.9,2.1,21,2.84,1.17,19,3.17,1.33,6,4.9,2.07,20,4.57,2.51,7,338
disappearance,NA,NA,NA,5.36,2.26,22,3.75,1.65,20,4,1.41,9,4.95,2.25,21,4.92,2.25,13,220
disappoint,2.28,1.54,86,3.57,1.81,79,3.38,1.76,39,4.38,2.02,13,3.91,2.04,43,3.24,1.71,17,431
disappointed,2.44,1.55,27,4.06,2.38,33,2.65,1.62,17,3,1.41,6,4.47,2.37,19,3.88,2.53,8,1124
disarm,4.25,1.81,73,4.36,1.75,67,4.38,2.11,21,4.86,2.91,7,3.7,2.55,23,4.64,2.66,11,109
discharge,NA,NA,NA,5.48,2.44,21,3.4,1.54,20,3.2,1.62,10,4.94,2.11,17,5.29,2.81,7,327
disco,5.74,1.38,27,5.45,2.22,33,5.76,2.32,21,6,2.45,6,5.25,2.36,20,5.3,2.54,10,294
discount,6.86,2.06,86,6.87,2.07,79,5.78,2.44,18,5.5,2.45,8,4.62,2.5,24,4.5,2.32,12,243
discovery,7.19,1.68,16,5.27,2.18,26,6.81,2.06,21,7.42,1.88,12,6.04,2.53,23,5.88,2.47,16,584
discussion,5.31,1.35,16,4.15,1.46,27,6.18,1.33,22,6,1.28,12,5,2.52,19,4.9,1.97,10,619
dish,4.73,1.49,15,4.29,2.23,17,5.7,1.34,20,5.56,1.42,9,3.57,2.29,23,4.33,2.5,12,584
dislike,2.9,1.96,60,3.98,1.83,58,3.25,1.55,20,3,1.34,11,4.27,2.6,22,4.33,1.8,9,200
dispatch,NA,NA,NA,4.82,2.16,17,4.9,1.41,21,4.22,1.3,9,3.55,2.18,22,3.6,2.07,5,350
display,6.43,1.34,14,NA,NA,NA,6.19,1.33,21,6.5,1.91,4,3.81,1.91,21,4.2,1.99,10,435
disposal,4.04,1.48,27,4.53,1.41,32,4,1.92,21,4,1.79,6,4.42,2.29,19,5,2.67,10,250
disrespect,2.81,1.96,27,4.78,2,32,2.81,1.89,21,2.83,2.12,12,5.35,2.48,23,5.44,2.5,16,267
distance,4.71,1.54,14,NA,NA,NA,3.89,1.49,19,4.2,1.23,10,3.81,1.89,21,4,1.83,7,1306
distant,3.56,1.25,27,4.42,1.6,33,4.74,2.08,19,4.45,1.92,11,2.95,2.13,22,2.82,2.18,11,439
distinct,5.04,1.6,79,4.72,1.69,74,5.55,1.05,20,5.14,0.38,7,3.67,2.71,21,5,2.52,7,155
distract,4.28,1.96,58,4.61,2.07,56,3.68,1.6,19,4.25,1.58,8,3.55,2.04,22,3.56,1.94,9,249
distraction,3.67,1.3,27,4.19,1.8,31,4.05,1.13,19,4,1.07,8,3.94,2.1,18,3.57,2.07,7,200
distress,NA,NA,NA,5.1,2.57,21,3.25,1.37,20,3.75,1.14,12,4,3.16,24,4.5,3.03,10,371
distribution,4.67,1.59,15,4.29,2.08,17,5.5,1.85,20,5.89,2.26,9,3.45,2.58,20,3.56,2.3,9,157
district,5.71,1.33,14,NA,NA,NA,4.9,0.91,20,4.9,0.88,10,3,1.59,20,3,1.51,8,1068
ditch,3.26,1.54,34,4.72,2.05,46,3.2,1.32,20,3.36,1.15,14,3.81,1.97,21,3.67,2.27,12,401
diver,5.81,1.72,16,5.08,2.13,26,5.66,1.56,41,5.11,1.52,19,5.42,2.46,19,5.5,2.46,10,124
diversion,4.57,1.53,79,4.73,1.72,73,5.22,1.77,18,5.5,1.31,8,4.48,2.46,21,4.22,2.17,9,158
divert,4.59,1.47,70,4.29,1.7,63,4.42,1.54,19,4.5,0.71,10,4.1,2.13,20,4.83,1.47,6,103
divine,6.79,2.04,14,5.06,2.82,17,7.15,1.42,20,6.55,1.37,11,3.05,2.33,21,3.44,2.19,9,594
division,4.4,1.24,15,4.15,1.52,26,4.42,0.96,19,4.67,1.12,9,3.57,1.89,21,4.11,1.69,9,946
dizzy,2.93,1.24,27,4.22,1.88,32,3.14,1.71,21,3.12,1.55,8,4.67,2.32,24,5.57,1.95,14,430
dock,4.95,1.78,55,4.75,1.62,52,5.05,1.51,19,5.75,1.28,8,3.44,2.45,18,3,2,7,497
doctor,5.93,1.73,27,4.74,2.39,31,5.93,1.89,41,5.59,1.7,17,4.05,2.4,21,4.57,2.76,7,13461
document,4.94,1.18,16,3.85,1.54,27,5.42,1.07,19,5.43,1.62,7,2.9,1.64,21,2,1.15,7,515
documents,4.43,1.5,37,4.19,2.16,48,5.35,1.14,20,5.18,0.87,11,3.73,2.25,22,3.67,2.12,9,478
doggy,6.14,2.31,84,6.18,2.2,77,7,1.97,18,6.57,2.51,7,4.79,2.8,19,5.67,2.74,9,225
dolphin,NA,NA,NA,5.95,1.54,19,6.67,1.53,21,6.45,1.29,11,3,2.45,22,3.4,3.36,5,141
domain,4.88,1.41,16,4.29,1.63,24,5.05,1.28,20,4.82,0.75,11,3.36,2.68,22,3.33,2.06,9,132
domestic,4.44,1.93,16,4.08,2,24,5.05,2.04,19,4.33,2.34,6,2.8,2.26,20,2.86,3.18,7,351
domino,6.29,2.05,14,NA,NA,NA,5,1.52,21,4.75,1.22,12,3.46,2.62,24,4.2,2.3,10,205
donate,6.24,2.06,86,5.05,2.35,79,6.7,1.45,20,7.11,1.05,9,3.25,2.23,24,3.42,2.47,12,203
doorbell,5.47,1.62,57,5.88,1.94,56,5.33,1.59,21,5.3,2.06,10,4.17,2.31,23,5,2.28,11,425
doorman,5.03,1.35,58,4.57,1.62,56,5.45,1.41,22,5,0.93,8,3.35,2.17,26,3.38,2.33,13,162
dope,NA,NA,NA,4.81,2.32,21,4.14,2.19,22,4.1,2.51,10,4.24,2.57,21,3.45,2.38,11,820
dork,3.81,2.02,75,4.1,1.93,67,4.35,1.5,20,4.45,1.57,11,2.88,2.01,24,4.2,2.3,10,213
dose,4.44,1.41,16,4.63,1.84,27,4.91,1.27,22,4.7,1.49,10,2.95,2.16,21,2.27,2,11,270
dot,4.78,1.64,85,4.07,1.98,76,4.84,2.01,19,3.88,2.23,8,3.09,1.8,22,2.22,1.64,9,338
doubt,3.09,1.53,58,4.47,1.76,57,3.28,1.93,18,3.09,1.45,11,4.33,2.42,21,3.44,2.88,9,3205
douche,3.47,1.85,15,5,1.98,23,2.9,1.7,21,2.67,1.67,12,4.13,2.6,23,4.69,2.7,16,120
doughnut,NA,NA,NA,6.26,1.97,19,7.5,1.41,22,7.12,1.25,8,4.5,2.34,26,4.77,2.24,13,215
dove,6.13,1.64,15,4.58,2.21,26,6.9,1.93,41,6.56,2.03,16,3.27,2.47,44,3.5,2.28,14,284
drag,3.74,1.38,27,4.28,2.02,32,3.68,1.73,19,3.43,1.72,7,4.81,1.94,21,4.14,1.86,7,1349
dragon,6.94,2.35,16,5.89,2.1,27,6.68,1.67,19,6.86,1.77,7,5.45,2.87,20,5.83,2.64,6,984
dragonfly,6.07,2.09,14,4.65,2.26,17,6.45,1.71,22,6.4,1.26,10,3.86,2.52,21,3,2.05,11,145
drain,3.95,1.86,58,4.39,1.88,56,3.8,1.67,20,4.1,1.6,10,2.94,1.98,18,4,1.83,7,440
drama,3.8,2.73,15,6.47,1.87,17,4.37,2.63,19,4.82,2.75,11,5.14,3.04,22,4.27,2.72,11,1028
dramatic,4.96,2.08,85,5.73,1.9,78,5.17,1.54,18,5.43,1.13,7,6.59,1.99,22,6,2.21,10,499
draw,6.05,1.96,37,4.62,2.33,48,6.18,2.08,22,5.92,2.57,12,3.6,2.26,20,3.78,2.68,9,2061
dreadful,2.54,1.66,57,4,1.98,56,2.6,1.31,20,2.36,1.12,11,4.5,2.71,18,4.9,2.64,10,408
dream,7.66,1.43,58,7,2.27,58,7.43,1.8,21,6.57,2.51,7,4.37,2.81,43,4.41,2.87,17,6798
dresser,6,1.24,14,NA,NA,NA,5.28,0.96,18,5.57,1.13,7,2.58,1.64,19,1.88,0.99,8,182
drill,3.79,1.19,14,5.36,1.89,25,4.73,2.1,22,4.42,1.98,12,5.11,2.13,19,5.5,2.01,10,701
